symbol,gvkey,total_score,years_covered,max_overlap_days,primary_permno,first_seen,last_seen
LUCD,39728,59,4,365,22213,2021-10-14,2024-12-31
LUCY,40414,43,3,365,23258,2022-08-15,2024-07-17
LUCYW,40414,43,3,365,23258,2022-08-15,2024-07-17
LULU,178015,178,12,366,92203,2012-05-02,2024-12-31
LUMN,2884,58,4,365,60599,2021-04-09,2024-12-31
LUMO,36333,73,5,365,13111,2020-03-19,2024-12-11
LUNA,166583,238,16,366,91359,2006-08-24,2024-06-19
LUNG,36260,74,5,365,19979,2020-10-01,2024-12-31
LUNR,38258,14,1,193,22313,2024-06-21,2024-12-31
LUV,9882,395,25,366,58683,1977-06-27,2024-12-31
LUXH,40679,43,3,365,23255,2022-08-12,2024-11-19
LVLU,39882,45,3,365,22321,2021-11-11,2024-12-31
LVO,187122,58,4,365,17323,2021-10-06,2024-07-31
LVOX,39053,43,3,365,18549,2021-06-22,2023-12-22
LVOXU,39053,43,3,365,18549,2021-06-22,2023-12-22
LVOXW,39053,43,3,365,18549,2021-06-22,2023-12-22
LVS,161844,222,15,366,90505,2004-12-15,2024-12-31
LVWR,36979,43,3,365,23379,2022-09-27,2024-12-31
LW,28790,134,9,366,16431,2016-11-10,2024-12-31
LWAY,15087,413,26,366,12209,1988-12-29,2024-12-31
LWLG,106233,59,4,365,21942,2021-09-01,2024-12-31
LX,32750,70,6,365,17150,2017-12-21,2024-12-31
LXEH,37114,36,3,365,19980,2020-10-01,2024-01-02
LXEO,43385,15,1,365,24508,2023-11-03,2024-12-31
LXP,29052,254,20,366,79770,1998-01-02,2024-12-31
LXP-PC,29052,244,19,366,79770,1998-01-02,2024-12-31
LXRX,133868,341,23,366,88173,2000-04-07,2024-12-31
LXU,6528,338,22,366,49488,1982-12-01,2024-12-31
LYEL,38883,59,4,365,21351,2021-06-17,2024-12-31
LYFT,34873,89,6,366,18452,2019-06-21,2024-12-31
LYG,15929,151,13,366,89238,2004-06-10,2024-12-31
LYLT,39962,29,2,365,22214,2021-11-08,2023-03-20
LYRA,36300,73,5,365,19402,2020-05-01,2024-12-31
LYTS,6527,443,28,366,89456,1989-11-20,2024-12-31
LYV,165746,236,16,366,91041,2006-08-04,2024-12-31
LZ,39225,58,4,365,21564,2021-06-30,2024-12-31
LZB,6543,489,31,366,48347,1987-08-20,2024-12-31
M,4611,180,13,366,77462,2007-06-01,2024-12-31
MA,160225,206,14,366,91233,2006-07-07,2024-12-31
MAA,29649,249,21,366,80183,1994-01-28,2024-12-31
MAA-PI,29649,227,19,366,80183,1994-01-28,2024-12-31
MAAC,36988,28,2,272,20304,2020-12-03,2021-09-30
MAACU,36988,28,2,272,20304,2020-12-03,2021-09-30
MAAQ,39926,11,1,284,22670,2022-01-14,2022-10-25
MAAQU,39926,14,1,284,22670,2022-01-14,2022-10-25
MAC,29868,308,24,366,80399,1994-03-10,2024-12-31
MACK,187631,192,13,366,13325,2012-03-29,2024-05-17
MACQ,37949,14,1,243,21076,2021-04-23,2021-12-22
MAG,134305,108,10,366,92181,2007-07-10,2024-12-31
MAIA,41132,40,3,365,23216,2022-07-28,2024-12-31
MAIN,178529,162,14,366,92309,2007-10-19,2024-12-31
MAMA,17494,15,1,365,21744,2023-08-02,2024-12-31
MAMO,45070,14,1,273,25024,2024-04-02,2024-12-31
MAN,14370,297,20,366,75285,1991-05-10,2024-12-31
MANH,109826,381,24,366,85992,1998-04-23,2024-12-31
MANT,146171,177,12,366,89307,2002-02-07,2022-09-13
MAPS,39025,58,4,365,19025,2021-06-16,2024-12-31
MAPSW,39025,58,4,365,19025,2021-06-16,2024-12-31
MAR,28930,297,20,366,85913,1998-03-30,2024-12-31
MARA,4384,58,4,365,14813,2021-03-01,2024-09-09
MARA.MX,4384,14,1,252,14813,2021-03-01,2024-09-09
MARK,178494,116,8,366,89756,2017-04-13,2024-02-13
MARPS,7034,336,26,366,51530,1982-11-01,2024-12-31
MAS,7085,457,29,366,34032,1969-05-05,2024-12-31
MASI,177881,239,16,366,92220,2007-08-08,2024-12-31
MASS,37480,59,4,365,20305,2020-12-18,2024-12-31
MAT,7116,364,23,366,39538,1976-06-17,2024-12-31
MATV,61519,268,17,366,82649,1995-12-01,2024-12-31
MATW,30477,475,30,366,80759,1994-07-20,2024-12-31
MATX,1254,205,13,366,11691,2012-07-02,2024-12-31
MAX,37148,74,5,365,19859,2020-10-28,2024-12-31
MAXR,137609,73,5,366,16939,2019-01-02,2023-05-02
MAYS,7138,429,27,366,27617,1991-06-03,2024-12-31
MBC,41835,44,3,365,23568,2022-12-15,2024-12-31
MBCN,139705,164,11,366,14932,2014-09-10,2024-12-31
MBI,13561,381,24,366,75175,1987-07-01,2024-12-31
MBII,18270,147,10,366,14099,2013-08-02,2022-07-12
MBIN,32619,117,8,365,16991,2017-10-27,2024-12-31
MBINM,32619,45,3,365,16991,2020-05-27,2024-12-31
MBINN,32619,117,8,365,16991,2017-10-27,2024-12-31
MBINO,32619,117,8,365,16991,2017-10-27,2024-12-31
MBINP,32619,102,7,365,16991,2017-10-27,2024-12-31
MBIO,32347,118,8,366,16903,2017-08-22,2024-12-31
MBLY,41640,44,3,365,23439,2022-10-26,2024-12-31
MBOT,29293,133,9,366,77437,2016-11-29,2024-12-31
MBRX,26873,130,9,365,16099,2016-06-02,2024-12-31
MBUU,19391,163,11,366,14434,2014-01-31,2024-12-31
MBWM,65689,303,19,366,87114,1999-07-19,2024-12-31
MC,19927,163,11,366,14574,2014-07-15,2024-12-31
MCB,32519,117,8,366,17093,2017-11-08,2024-12-31
MCBC,107325,254,16,366,87501,1999-12-23,2024-06-19
MCBS,27111,89,6,366,19015,2019-10-03,2024-12-31
MCD,7154,365,23,366,43449,1968-01-02,2024-12-31
MCF,22053,192,14,366,88871,2001-02-01,2021-12-07
MCFE,37180,29,2,365,19857,2020-11-24,2022-02-28
MCFT,24911,104,7,366,15530,2018-11-20,2024-12-31
