symbol,gvkey,total_score,years_covered,max_overlap_days,primary_permno,first_seen,last_seen
0JS2.L,6502,15,1,365,16678,2009-12-08,2024-12-31
4OQ1.F,179889,12,1,365,92680,2019-09-12,2024-12-31
A,126554,383,26,366,87432,1999-11-18,2024-12-31
AA,27638,133,9,366,16347,2016-11-01,2024-12-31
AACG,179300,166,14,366,92520,2008-04-25,2024-06-19
AACI,39408,58,4,365,22271,2021-11-10,2024-08-15
AACIU,39408,58,4,365,22271,2021-11-10,2024-08-15
AACIW,39408,58,4,365,22271,2021-11-10,2024-08-15
AADI,39527,59,4,365,17869,2021-08-27,2024-12-31
AAIC,66085,202,15,366,85653,2009-06-10,2023-12-13
AAIC-PB,66085,202,15,366,85653,2009-06-10,2023-12-13
AAIN,66085,202,15,366,85653,2009-06-10,2023-12-13
AAL,1045,179,12,366,21020,2013-12-09,2024-12-31
AAME,16671,419,28,366,15580,1990-11-01,2024-12-31
AAN,37445,73,5,365,20064,2020-12-01,2024-10-03
AAOI,18564,179,12,366,14145,2013-09-26,2024-12-31
AAON,21542,428,27,366,76868,1993-10-18,2024-12-31
AAP,145977,354,24,366,89217,2001-11-29,2024-12-31
AAPL,1690,509,32,366,14593,1982-11-01,2024-12-31
AAT,185549,166,14,366,12513,2011-01-13,2024-12-31
AATC,31775,28,2,362,81624,2021-07-21,2022-12-29
AATP,34144,14,1,82,24469,2023-10-11,2024-08-29
AAU,22570,75,7,366,91038,2005-12-20,2024-04-04
AAWW,61155,277,19,366,91262,2001-02-20,2023-03-17
AB,14592,243,19,366,75278,2006-02-27,2024-12-31
ABB,210418,177,15,366,88953,2004-06-10,2019-09-16
ABBV,16101,179,12,366,13721,2013-01-02,2024-12-31
ABC,31673,338,23,366,81540,2001-08-30,2023-08-29
ABCB,30222,316,20,366,80498,2005-12-09,2024-07-22
ABCL,37527,59,5,365,20276,2020-12-11,2024-12-31
ABEO,12713,147,10,366,87656,2015-06-22,2024-12-31
ABEV,201140,154,12,366,85254,2013-11-11,2024-12-31
ABG,144640,340,23,366,89327,2002-03-14,2024-12-31
ABIO,182309,235,16,366,85293,2009-01-28,2024-09-02
ABL,36775,15,1,365,19826,2023-07-05,2024-12-31
ABM,1410,492,31,366,47730,1994-03-17,2024-12-31
ABMC,21136,190,13,366,85671,1997-12-24,2009-09-02
ABMD,13619,444,28,366,75107,1992-08-31,2022-12-21
ABML,26366,14,1,102,24250,2023-09-21,2024-06-19
ABNB,37460,73,5,365,20190,2020-12-10,2024-12-31
ABOS,38986,59,4,365,21695,2021-07-01,2024-12-31
ABR,160173,249,21,366,90102,2004-06-10,2024-12-31
ABR-PD,160173,249,21,366,90102,2004-06-10,2024-12-31
ABR-PE,160173,249,21,366,90102,2004-06-10,2024-12-31
ABR-PF,160173,249,21,366,90102,2004-06-10,2024-12-31
ABSI,39175,59,4,365,21604,2021-07-22,2024-12-31
ABST,133364,23,2,365,19943,2020-10-28,2023-07-26
ABT,1078,474,32,366,20482,1968-01-02,2024-12-31
ABTX,26270,117,8,366,15774,2015-10-08,2022-09-30
ABUS,62475,119,10,366,12411,2015-08-03,2024-12-31
ABVC,39801,58,4,365,21828,2021-08-03,2024-12-31
AC,26413,149,10,366,15802,2015-12-01,2024-12-31
ACA,328795,103,7,366,18144,2018-11-01,2024-12-31
ACAD,141846,314,21,366,90177,2004-06-10,2024-12-31
ACAX,40601,28,2,283,22882,2022-03-24,2023-08-06
ACAXU,40601,28,2,283,22882,2022-03-24,2023-08-06
ACAXW,40601,42,3,283,22882,2022-03-24,2024-01-08
ACB,22449,46,4,365,18151,2018-10-23,2024-02-19
ACBI,179048,102,7,366,15709,2015-11-02,2022-02-28
ACC,161048,225,19,366,90300,2004-08-12,2022-08-09
ACCD,36263,73,5,365,19496,2020-07-02,2024-12-31
ACCO,164506,296,20,366,90825,2005-08-17,2024-12-31
ACDC,40306,44,3,365,23064,2022-05-13,2024-12-31
ACEL,36550,88,6,365,16874,2019-11-21,2024-12-31
ACER,32459,103,7,366,91471,2017-09-21,2023-11-08
ACET,36987,74,5,365,17272,2020-09-16,2024-12-31
ACFN,24912,132,9,365,77327,2007-12-17,2015-07-23
ACH,146352,12,1,365,89246,2012-05-02,2020-03-09
ACHC,192255,207,14,366,13105,2011-11-01,2024-12-31
ACHL,38516,24,2,365,20761,2021-03-31,2024-12-31
ACHR,40092,59,4,365,20207,2021-09-17,2024-12-31
ACHV,32271,117,8,365,82526,2017-08-03,2024-12-31
ACI,25645,73,5,365,19413,2020-06-26,2024-12-31
ACIC,178823,45,3,366,13712,2012-12-11,2024-12-31
ACIW,31564,286,18,366,81282,2007-07-25,2024-12-31
ACLS,137602,369,25,366,88417,2000-07-11,2024-12-31
ACLX,40610,44,3,365,22758,2022-02-04,2024-12-31
ACM,147988,266,18,366,91975,2007-06-21,2024-12-31
ACMR,32638,119,8,366,17045,2017-11-03,2024-12-31
ACNB,17173,224,15,366,12480,2010-12-20,2024-12-31
ACNT,10236,63,4,365,43334,2019-09-12,2024-12-31
ACON,40660,43,3,365,23008,2022-04-22,2024-12-31
ACONW,40660,43,3,365,23008,2022-04-22,2024-12-31
ACOR,156617,279,19,366,91086,2006-02-10,2024-04-11
ACR,162925,47,4,365,91119,2021-02-17,2024-12-31
ACR-PC,162925,47,4,365,91119,2021-02-17,2024-12-31
ACR-PD,162925,47,4,365,91119,2021-02-17,2024-12-31
ACRE,189516,154,13,366,13332,2012-04-26,2024-12-31
ACRS,25904,149,10,366,15775,2015-10-07,2024-12-31
ACRV,41684,43,3,365,23510,2022-11-15,2024-12-31
ACRX,185908,192,13,366,12573,2011-02-11,2024-01-09
ACST,186834,64,6,366,13750,2013-01-07,2023-07-09
ACT,38753,59,4,365,21906,2021-09-16,2024-12-31
ACTG,61004,419,29,366,89611,1996-07-08,2024-12-31
ACU,1104,446,30,366,60038,1977-10-03,2024-12-31
ACUR,11929,201,14,366,10116,2004-08-13,2017-02-22
ACVA,38374,59,4,365,20657,2021-03-24,2024-12-31
ACXP,38910,58,4,365,21512,2021-06-25,2024-12-31
ACY,66301,221,16,366,85757,1998-01-16,2022-03-27
ADAG,37862,36,3,365,20564,2021-02-09,2024-12-31
ADAP,23574,107,9,366,15361,2015-05-06,2024-12-31
ADBE,12540,447,30,366,75510,1986-08-13,2024-12-31
ADC,30067,347,27,366,80412,1994-04-15,2024-12-31
ADC-PA,30067,283,22,366,80412,2002-01-02,2024-12-31
ADEA,156153,43,3,365,89922,2022-10-03,2024-12-31
ADES,156578,161,11,366,90400,2013-07-01,2024-01-31
ADEX,37608,43,3,365,20666,2021-04-26,2023-02-15
ADF,38237,14,1,184,21361,2021-06-01,2021-12-02
ADGI,39266,28,2,254,21790,2021-08-06,2022-09-12
ADGM,38056,14,1,152,25393,2024-08-01,2024-12-31
ADI,1632,401,27,366,60871,1979-04-03,2024-12-31
ADIL,32395,103,7,366,17951,2018-07-27,2024-12-31
ADM,1722,415,28,366,10516,1968-01-02,2024-12-31
ADMA,17653,164,11,366,15056,2014-11-10,2024-12-31
ADMP,182826,163,11,366,82163,2013-12-13,2023-05-21
ADMS,20042,117,8,366,14589,2014-07-15,2021-11-23
ADMT,21116,63,4,366,76291,1990-07-19,1998-10-29
ADN,38001,57,4,365,18302,2021-02-05,2024-12-31
ADNWW,38001,57,4,365,18302,2021-02-05,2024-12-31
ADOM,31825,70,5,366,16773,2017-06-15,2021-10-20
ADP,1891,443,30,366,44644,1970-11-10,2024-12-31
ADPT,35279,89,6,366,18769,2019-06-27,2024-12-31
ADRA,37749,40,3,365,20665,2021-03-24,2023-02-12
ADS,143974,308,21,366,89002,2001-06-08,2022-04-03
ADSK,1878,493,31,366,85631,1985-06-28,2024-12-31
ADT,32930,103,7,366,17223,2018-03-14,2024-12-31
ADTH,37949,57,4,365,21076,2021-12-23,2024-06-20
ADTHW,37949,57,4,365,21076,2021-12-23,2024-06-20
ADTN,30576,47,3,365,80791,2022-07-11,2024-12-31
ADTX,35958,70,5,255,19460,2020-06-30,2024-06-20
ADUS,183283,238,16,366,93073,2009-10-28,2024-12-31
ADV,31803,73,5,365,18953,2020-10-29,2024-12-31
ADVM,21020,133,9,366,14790,2016-05-12,2024-12-31
ADVWW,31803,73,5,365,18953,2020-10-29,2024-12-31
ADXN,284699,46,4,365,19179,2020-06-29,2023-10-22
ADXS,164511,132,9,366,14237,2013-10-17,2021-12-22
AE,1121,445,30,366,61487,1992-03-19,2024-12-31
AEE,10860,427,27,366,24985,1998-01-02,2024-12-31
AEG,15598,23,2,365,85172,2023-10-02,2024-12-31
AEHA,39573,43,3,365,22272,2021-11-05,2023-02-14
AEHAU,39573,29,2,365,22272,2021-11-05,2023-02-14
AEHR,65286,445,28,366,85272,1997-08-15,2024-12-31
AEI,36005,44,3,365,20147,2022-10-04,2024-12-31
AEIS,61562,430,27,366,82547,1995-11-17,2024-12-31
AEL,156383,324,22,366,89946,2003-12-04,2024-05-02
AEL-PA,156383,324,22,366,89946,2003-12-04,2024-05-02
AEL-PB,156383,324,22,366,89946,2003-12-04,2024-05-02
AEM,1186,70,6,366,78223,2004-06-10,2024-07-31
AEMD,27983,146,10,366,15491,2015-07-13,2024-12-31
AENT,37749,15,1,365,20665,2023-06-30,2024-12-31
AENTW,37749,15,1,365,20665,2023-06-30,2024-12-31
AENZ,237820,33,3,340,14019,2020-11-12,2023-12-07
AEO,30059,409,26,366,80432,1999-04-23,2024-12-31
AEP,1440,460,31,366,24109,1968-01-02,2024-12-31
AERC,40323,43,3,365,22273,2021-11-24,2023-10-12
AERG,25088,58,4,365,77443,2008-02-20,2011-12-20
AERI,18749,147,10,366,14238,2013-10-25,2022-11-18
AES,24216,401,27,366,76712,1991-06-26,2024-12-31
AESC,24216,387,26,366,76712,1996-10-16,2024-12-31
AESE,35552,73,5,366,16975,2019-08-12,2024-12-31
AESI,41981,29,2,365,23738,2023-10-03,2024-12-31
AEVA,38357,58,4,365,19224,2021-03-15,2024-12-31
AEY,24428,431,28,366,76869,1993-04-22,2023-11-15
AEYE,17754,102,7,366,18098,2018-09-04,2024-12-31
AEZS,63562,34,3,365,88240,2012-10-05,2024-05-02
AFBI,29499,59,4,365,16671,2021-01-21,2024-12-31
AFCG,38053,58,4,365,20764,2021-03-19,2024-10-23
AFG,8431,414,28,366,60687,1997-12-03,2024-12-31
AFGB,8431,326,22,366,60687,2002-01-02,2024-12-31
AFGC,8431,326,22,366,60687,2002-01-02,2024-12-31
AFGD,8431,326,22,366,60687,2002-01-02,2024-12-31
AFGE,8431,326,22,366,60687,2002-01-02,2024-12-31
AFI,26343,89,6,366,15956,2016-04-04,2022-05-20
AFIB,36757,73,5,365,19619,2020-09-25,2024-05-08
AFIIQ,26343,89,6,366,15956,2016-04-04,2022-05-20
AFIN,31914,46,4,366,17952,2018-07-19,2022-02-14
AFINO,31914,24,2,366,17952,2019-09-09,2022-02-14
AFINP,31914,46,4,366,17952,2018-07-19,2022-02-14
AFL,1449,510,32,366,57904,1992-01-02,2024-12-31
AFRM,37413,58,4,365,20339,2021-03-29,2024-12-31
AG,108768,23,2,365,12447,2023-03-27,2024-12-31
AGAE,35552,88,6,366,16975,2019-08-12,2024-12-31
AGAEW,35552,44,3,365,16975,2019-08-12,2024-12-31
AGCO,25180,445,28,366,77520,1994-04-06,2024-12-31
AGE,34469,95,7,366,18217,2018-11-29,2024-03-14
AGEN,129466,207,14,366,87583,2011-01-06,2024-12-31
AGFS,19525,118,8,366,14590,2015-08-03,2023-03-30
AGFY,37896,56,4,338,20412,2021-01-28,2024-10-07
AGI,123455,19,2,365,13763,2015-07-06,2024-07-31
AGIL,39490,43,3,365,19194,2021-08-24,2023-11-22
AGIO,18159,178,12,366,14044,2013-07-24,2024-12-31
AGL,38461,58,4,365,20893,2021-04-15,2024-12-31
AGLE,24599,117,8,366,16005,2016-04-07,2023-09-07
AGM,15153,404,29,366,80168,1994-01-27,2024-10-28
AGM-A,15153,389,28,366,80168,1994-01-27,2024-10-28
AGM-PC,15153,404,29,366,80168,1994-01-27,2024-10-28
AGM-PD,15153,404,29,366,80168,1994-01-27,2024-10-28
AGM-PE,15153,389,28,366,80168,1994-01-27,2024-10-28
AGM-PF,15153,389,28,366,80168,1994-01-27,2024-10-28
AGM-PG,15153,404,29,366,80168,1994-01-27,2024-10-28
AGNC,179889,106,9,366,92680,2016-10-03,2024-12-31
AGNCL,179889,48,4,365,92680,2019-09-12,2024-12-31
AGNCM,179889,106,9,366,92680,2016-10-03,2024-12-31
AGNCN,179889,106,9,366,92680,2016-10-03,2024-12-31
AGNCO,179889,106,9,366,92680,2016-10-03,2024-12-31
AGNCP,179889,106,9,366,92680,2016-10-03,2024-12-31
AGQPF,115044,12,1,365,16479,2021-03-31,2024-12-31
AGR,26658,148,10,366,15859,2015-12-17,2024-12-20
AGRI,37547,45,4,365,21698,2021-07-08,2024-06-19
AGRIW,37547,45,4,365,21698,2021-07-08,2024-06-19
AGRX,20010,160,11,366,14645,2014-05-23,2024-03-25
AGS,31386,103,7,366,17252,2018-01-26,2024-12-31
AGTC,19967,132,9,366,14528,2014-07-15,2022-11-30
AGTI,31954,58,4,365,20901,2021-04-23,2024-05-06
AGX,8832,315,22,366,64785,2003-10-29,2024-08-05
AGYS,8599,346,22,366,63125,2003-09-16,2024-12-31
AHC,179288,59,4,366,92528,2008-02-11,2021-06-07
AHCO,35852,87,6,366,17684,2019-11-11,2024-12-31
AHH,17626,142,12,366,13887,2013-05-08,2024-12-31
AHH-PA,17626,142,12,366,13887,2013-05-08,2024-12-31
AHI,322717,22,2,351,22274,2021-11-19,2024-01-31
AHPI,24837,370,25,366,77259,1992-01-14,2023-02-02
AHR,34970,11,1,328,24817,2024-02-07,2024-12-31
AHT,155754,257,22,366,89803,2003-08-26,2024-10-27
AHT-PD,155754,257,22,366,89803,2003-08-26,2024-10-27
AHT-PF,155754,257,22,366,89803,2003-08-26,2024-10-27
AHT-PG,155754,257,22,366,89803,2003-08-26,2024-10-27
AHT-PH,155754,257,22,366,89803,2003-08-26,2024-10-27
AHT-PI,155754,257,22,366,89803,2003-08-26,2024-10-27
AI,37517,59,4,365,20193,2020-12-09,2024-12-31
AIC,66085,202,15,366,85653,2009-06-10,2023-12-13
AIG,1487,474,32,366,66800,1984-10-10,2024-12-31
AIG-PA,1487,459,31,366,66800,1984-10-10,2024-12-31
AIH,35730,57,5,365,18996,2019-10-25,2024-05-20
AIHS,32647,101,7,365,17345,2018-03-16,2024-12-31
AIKI,18738,58,4,365,18148,2020-03-13,2024-06-20
AIM,62525,89,6,366,83762,2019-09-03,2024-12-31
AIMC,176247,251,17,366,91658,2006-12-15,2023-03-24
AIMD,63446,43,3,365,83840,2022-08-09,2024-12-31
AIMDW,63446,43,3,365,83840,2022-08-09,2024-12-31
AIN,14084,494,31,366,11731,1988-09-30,2024-12-31
AINC,22119,152,11,366,15028,2014-11-13,2024-07-26
AINV,266257,223,19,366,90121,2004-06-10,2022-08-14
AIP,39805,59,4,365,22177,2021-10-27,2024-12-31
AIR,1004,491,31,366,54594,1980-11-17,2024-12-31
AIRC,37489,58,5,365,20191,2020-12-15,2024-06-27
AIRE,43211,15,1,365,24465,2023-10-23,2024-12-31
AIRG,27703,134,9,366,16247,2016-08-12,2024-12-31
AIRI,166087,164,12,366,13976,2013-09-03,2024-12-31
AIRS,39830,59,4,365,22178,2021-10-29,2024-12-31
AIRT,1210,386,26,366,11368,1999-09-30,2024-12-31
AISP,38360,15,1,365,21273,2023-12-22,2024-12-31
AISPW,38360,15,1,365,21273,2023-12-22,2024-12-31
AIT,2101,443,28,366,29612,1997-01-02,2024-12-31
AIU,33187,68,6,366,17379,2018-03-28,2024-07-28
AIV,30490,346,27,366,80711,1994-07-22,2024-12-31
AIXI,42013,11,1,298,23775,2023-03-09,2024-08-22
AIZ,157057,309,21,366,90038,2004-06-10,2024-12-31
AIZN,157057,309,21,366,90038,2004-06-10,2024-12-31
AJG,4973,494,31,366,38093,1987-12-01,2024-12-31
AJRD,5018,141,9,366,20765,2015-04-27,2023-07-27
AJX,22853,117,10,366,15196,2015-07-01,2024-12-02
AJXA,22853,117,10,366,15196,2015-07-01,2024-12-02
AKA,39500,58,4,365,21975,2021-09-22,2024-12-31
AKAM,125595,382,26,366,87299,1999-10-29,2024-12-31
AKAN,40703,33,3,298,22885,2022-07-26,2024-11-13
AKBA,19859,163,11,366,14531,2014-07-15,2024-12-31
AKLI,38945,43,3,365,21534,2022-08-22,2024-06-19
AKO-A,30436,266,24,366,84660,1997-04-07,2024-12-31
AKO-B,30436,266,24,366,84660,1997-04-07,2024-12-31
AKR,28323,334,26,366,79235,1998-08-13,2024-12-31
AKRO,35267,89,6,366,18772,2019-09-09,2024-12-31
AKTS,21042,117,8,366,16625,2017-03-13,2024-12-17
AKTX,26204,117,10,366,14424,2015-09-21,2024-12-31
AKU,32852,23,2,365,19810,2020-09-03,2022-10-04
AKUS,36572,43,3,365,19461,2020-06-26,2022-11-30
AKYA,38527,59,4,365,21016,2021-04-16,2024-12-31
AL,186278,208,14,366,12641,2011-04-19,2024-12-31
AL-PA,186278,208,14,366,12641,2011-04-19,2024-12-31
ALAR,297434,12,1,365,18054,2023-01-25,2024-12-31
ALB,29751,426,27,366,80191,1994-03-11,2024-12-31
ALBO,29018,104,7,366,92032,2016-11-04,2023-03-02
ALBT,34382,42,3,361,18253,2020-02-14,2024-06-19
ALCC,38375,58,4,365,21619,2021-07-08,2024-12-31
ALCO,1266,429,27,366,11790,1982-11-01,2024-12-31
ALDX,20018,164,11,366,14647,2014-05-02,2024-12-31
ALE,7437,370,25,366,24248,2000-09-01,2024-12-31
ALEC,34616,89,6,366,18376,2019-02-07,2024-12-31
ALEX,11756,172,13,366,13429,2012-07-02,2024-12-31
ALG,27960,430,27,366,78950,1995-07-28,2024-12-31
ALGM,37309,74,5,365,19938,2020-10-29,2024-12-31
ALGN,141384,355,24,366,88860,2001-01-26,2024-12-31
ALGS,37084,73,5,365,19944,2020-10-16,2024-08-18
ALGT,175007,283,19,366,91659,2006-12-08,2024-12-31
ALHC,38238,59,4,365,20661,2021-03-26,2024-12-31
ALIM,180363,222,15,366,93339,2010-04-22,2024-09-13
ALIT,36463,59,4,365,21617,2021-07-06,2024-12-31
ALJJ,62582,88,7,365,16052,2016-05-11,2022-09-09
ALK,1230,477,30,366,28804,1985-05-23,2024-12-31
ALKT,38329,59,4,365,21017,2021-04-14,2024-12-31
ALL,28349,448,30,366,79323,1993-06-03,2024-12-31
ALL-PB,28349,448,30,366,79323,1993-06-03,2024-12-31
ALL-PG,28349,343,23,366,79323,1993-06-03,2024-12-31
ALL-PH,28349,448,30,366,79323,1993-06-03,2024-12-31
ALL-PI,28349,448,30,366,79323,1993-06-03,2024-12-31
ALLK,33721,103,7,366,17948,2018-07-19,2024-12-31
ALLO,34161,104,7,366,18137,2018-10-11,2024-12-31
ALLR,322154,57,4,365,22523,2021-12-21,2024-09-10
ALLY,5072,162,11,366,14558,2014-04-10,2024-12-31
ALMS,45447,14,1,186,25205,2024-06-28,2024-12-31
ALNA,32529,88,6,366,17042,2017-11-02,2022-09-07
ALNT,5520,47,3,365,41188,2004-06-10,2024-12-31
ALNY,264265,313,21,366,90178,2004-06-10,2024-12-31
ALOT,1820,476,30,366,15537,1989-11-01,2024-12-31
ALPA,38242,43,3,365,21908,2021-09-16,2023-07-16
ALPAU,38242,43,3,365,21908,2021-09-16,2023-07-16
ALPN,32245,118,8,366,15432,2017-07-25,2024-05-17
ALPP,29531,43,3,365,22179,2021-10-20,2024-06-20
ALR,146500,11,1,338,89252,2022-01-28,2023-03-17
ALRM,24135,148,10,366,15409,2015-06-26,2024-12-31
ALRN,31656,118,8,366,16776,2017-06-29,2024-12-31
ALRS,18434,89,6,366,18941,2019-09-13,2024-12-31
ALSK,126555,326,22,366,87373,1999-11-18,2021-07-22
ALSMY,218399,23,2,365,86110,2002-01-02,2004-06-09
ALSN,177966,192,13,366,13284,2012-03-15,2024-12-31
ALT,31249,117,8,365,90926,2017-05-05,2024-12-31
ALTA,23698,28,2,272,15435,2020-07-01,2021-09-30
ALTG,36206,73,5,365,18514,2020-02-18,2024-12-31
ALTG-PA,36206,73,5,365,18514,2020-02-18,2024-12-31
ALTI,38016,15,1,365,21056,2023-04-25,2024-12-31
ALTM,34414,45,4,365,16673,2018-11-12,2022-02-22
ALTO,163595,59,4,365,86165,2021-02-01,2024-12-31
ALTR,32530,116,8,366,17034,2017-11-01,2024-12-31
ALUR,37819,13,1,365,24086,2023-08-02,2024-12-31
ALV,64690,402,27,366,84656,1997-04-28,2024-12-31
ALVR,36786,74,5,365,19540,2020-07-30,2024-12-31
ALX,1257,403,31,366,49330,1969-10-07,2024-12-31
ALXN,62263,333,21,366,83111,1996-02-28,2021-07-20
ALXO,36704,73,5,365,19542,2020-07-17,2024-12-31
ALYA,34376,47,4,366,18149,2018-11-02,2024-02-08
ALZN,38791,57,4,365,21513,2021-06-15,2024-06-19
AM,31109,87,6,366,16738,2019-03-13,2024-12-31
AMAL,33625,59,4,365,18043,2021-03-01,2024-12-31
AMAM,39018,14,1,47,24378,2023-11-15,2024-03-06
AMAO,38014,43,3,365,21018,2021-04-29,2023-10-15
AMAOU,38014,29,2,365,21018,2021-04-29,2023-10-15
AMAT,1704,443,28,366,14702,1989-09-01,2024-12-31
AMBC,24287,339,25,366,76757,1991-07-11,2024-12-31
AMBO,185263,84,8,366,17913,2010-08-06,2024-02-19
AMBR,32741,34,3,365,17146,2017-12-22,2022-11-13
AMC,177637,178,12,366,14328,2013-12-18,2024-12-31
AMCI,39381,43,3,365,21909,2021-09-24,2023-02-09
AMCIU,39381,43,3,365,21909,2021-09-24,2023-02-09
AMCX,187406,206,14,366,12880,2011-07-01,2024-12-31
AMD,1161,428,27,366,61241,1979-10-15,2024-12-31
AME,1598,322,25,366,85257,1997-08-08,2024-12-31
AMED,30612,427,27,366,80795,1995-08-11,2024-12-31
AMEH,32809,104,7,366,17133,2017-12-08,2024-02-25
AMG,65886,426,27,366,85593,1998-01-02,2024-12-31
AMGN,1602,427,27,366,14008,1986-04-01,2024-12-31
AMH,17639,142,12,366,14061,2013-08-01,2024-12-31
AMH-PF,17639,36,3,366,14061,2017-12-26,2024-12-31
AMH-PG,17639,142,12,366,14061,2013-08-01,2024-12-31
AMH-PH,17639,142,12,366,14061,2013-08-01,2024-12-31
AMHC,35854,28,2,357,19180,2020-01-10,2021-09-26
AMHCU,35854,28,2,357,19180,2020-01-10,2021-09-26
AMJ,2968,60,4,365,47896,2020-05-28,2024-12-31
AMK,34330,88,6,366,18786,2019-07-18,2024-06-16
AMKR,110039,430,27,366,86047,1998-05-01,2024-12-31
AMLI,107393,22,2,356,23657,2023-01-10,2024-12-27
AMLX,40470,44,3,365,22626,2022-01-07,2024-12-31
AMN,144520,354,24,366,89215,2001-11-13,2024-12-31
AMNB,17367,396,25,366,86814,1999-07-01,2024-03-28
AMOT,5520,349,22,366,41188,2002-11-20,2023-08-22
AMOV,142248,267,23,366,88885,2001-02-08,2023-03-15
AMP,164708,294,20,366,90880,2005-10-10,2024-12-31
AMPE,184465,180,13,366,12789,2011-05-19,2023-09-11
AMPG,17396,59,4,365,20566,2021-02-17,2024-12-31
AMPGW,17396,59,4,365,20566,2021-02-17,2024-12-31
AMPH,20659,164,11,366,14688,2014-06-25,2024-12-31
AMPL,39555,59,4,365,21904,2021-09-28,2024-12-31
AMPS,37355,59,4,365,20522,2021-12-10,2024-12-31
AMPX,40636,43,3,365,23352,2022-09-15,2024-12-31
AMPX-WT,40636,43,3,365,23352,2022-09-15,2024-12-31
AMPY,194755,88,6,365,16442,2019-08-07,2024-12-31
AMR,27841,58,4,365,18224,2021-06-16,2024-09-16
AMRB,60983,297,20,366,88719,2000-10-26,2021-08-06
AMRC,185128,221,15,366,10158,2010-07-22,2024-12-31
AMRK,19172,164,11,366,14532,2014-03-17,2024-12-31
AMRN,28027,257,20,366,79122,2000-01-11,2024-12-31
AMRS,184717,207,14,366,12307,2010-09-28,2023-08-18
AMRX,18888,103,7,366,82702,2018-05-07,2024-12-31
AMS,1559,443,30,366,13769,1988-06-16,2024-12-31
AMSC,24795,445,28,366,77175,1991-12-12,2024-12-31
AMSF,164572,298,20,366,90963,2005-11-18,2024-12-31
AMST,36863,71,5,365,19811,2020-09-25,2024-12-31
AMSWA,1562,475,30,366,13777,1983-02-28,2024-10-01
AMT,105365,149,13,365,86111,2012-01-03,2024-12-31
AMTB,33999,78,6,366,18050,2019-06-14,2024-12-31
AMTBB,33999,34,3,366,18050,2019-06-14,2021-11-17
AMTD,35331,45,4,365,18887,2019-09-09,2023-11-16
AMTI,36496,58,4,365,19462,2020-06-05,2023-12-26
AMTM,50688,14,1,92,25434,2024-09-30,2024-12-31
AMTX,162453,159,11,366,14689,2014-06-06,2024-12-31
AMTY,63798,73,5,366,91156,2006-03-21,2010-02-03
AMV,41621,14,1,225,23397,2023-05-15,2023-12-26
AMWD,12379,477,30,366,10501,1986-07-18,2024-12-31
AMWL,36950,72,5,365,19657,2020-09-17,2024-07-10
AMX,142248,72,8,366,88885,2004-06-10,2024-06-30
AMZN,64768,415,28,366,84788,1997-05-15,2024-07-31
AN,9063,411,26,366,76282,1999-04-06,2024-12-31
ANAB,26162,119,8,366,16562,2017-01-26,2024-12-31
ANAT,1526,43,3,365,13507,2020-07-02,2022-05-24
ANDE,1659,428,27,366,83112,1996-02-20,2024-12-31
ANDR,1650,162,11,366,29073,1991-10-11,2004-12-15
ANEB,38706,58,4,365,21269,2021-05-07,2024-12-31
ANET,20748,163,11,366,14714,2014-06-06,2024-12-03
ANF,63643,444,28,366,83976,1996-09-26,2024-12-31
ANGI,32502,117,8,366,16921,2017-10-02,2024-12-31
ANGN,20307,43,3,365,20567,2021-03-29,2023-06-01
ANGO,264387,313,21,366,90179,2004-06-10,2024-12-31
ANIK,28209,461,29,366,79150,1993-05-24,2024-12-31
ANIP,18204,178,12,366,89875,2013-07-18,2024-12-31
ANIX,12717,102,7,365,27167,2018-10-01,2024-12-31
ANNX,36768,74,5,365,19544,2020-07-24,2024-12-31
ANPC,35831,34,3,365,19181,2020-01-30,2024-07-09
ANRO,43837,14,1,333,24816,2024-02-02,2024-12-31
ANSS,63080,461,29,366,83621,1996-06-20,2024-12-31
ANTE,178796,70,6,366,92427,2019-06-13,2024-12-31
ANTM,145046,132,9,366,89179,2014-12-03,2024-12-31
ANTX,40833,44,3,365,22886,2022-03-25,2024-12-31
ANVS,35416,72,5,365,19149,2020-01-29,2024-12-31
ANY,16972,104,9,366,14791,2015-03-24,2024-12-31
ANZU,38030,43,3,365,21019,2021-04-22,2023-10-01
ANZUU,38030,43,3,365,21019,2021-04-22,2023-10-01
AOMR,39039,46,4,365,21367,2021-06-17,2024-12-31
AONC,38095,28,2,158,21035,2023-09-21,2024-06-07
AORT,27823,428,27,366,78876,1997-07-15,2024-12-31
AOS,9771,378,29,366,65402,1983-09-30,2024-12-31
AOUT,36826,74,5,365,19579,2020-10-16,2024-12-31
AP,1613,427,27,366,18075,1971-01-04,2024-12-31
AP-WT,1613,364,23,366,18075,2002-01-02,2024-12-31
APA,1678,59,4,365,39490,2021-03-02,2024-12-31
APAM,16113,177,12,366,13802,2013-03-07,2024-12-31
APCX,165286,44,3,365,22627,2022-01-05,2024-12-31
APCXW,165286,44,3,365,22627,2022-01-05,2024-12-31
APD,1209,462,31,366,28222,1968-01-02,2024-12-31
APDN,106126,161,11,366,15057,2014-11-17,2024-12-31
APEI,178797,268,18,366,92428,2007-11-09,2024-12-31
APEN,29687,103,7,365,13648,2016-12-30,2023-04-03
APG,325576,72,5,365,19317,2020-04-29,2024-12-31
APGE,39755,14,1,217,22655,2024-05-28,2024-12-31
